"kind","etag","id","snippet_channelid","snippet_title","snippet_assignable"
"youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/Xy1mB4_yLrHy_BmKmPBggty2mZQ""","1","UCBR8-60-B28hp2BmDPdntcQ","Film & Animation","true"
"youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/UZ1oLIIz2dxIhO45ZTFR3a3NyTA""","2","UCBR8-60-B28hp2BmDPdntcQ","Autos & Vehicles","true"
"youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/nqRIq97-xe5XRZTxbknKFVe5Lmg""","10","UCBR8-60-B28hp2BmDPdntcQ","Music","true"
"youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/HwXKamM1Q20q9BN-oBJavSGkfDI""","15","UCBR8-60-B28hp2BmDPdntcQ","Pets & Animals","true"
"youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/9GQMSRjrZdHeb1OEM1XVQ9zbGec""","17","UCBR8-60-B28hp2BmDPdntcQ","Sports","true"
"youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/FJwVpGCVZ1yiJrqZbpqe68Sy_OE""","18","UCBR8-60-B28hp2BmDPdntcQ","Short Movies","false"
"youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/M-3iD9dwK7YJCafRf_DkLN8CouA""","19","UCBR8-60-B28hp2BmDPdntcQ","Travel & Events","true"
"youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/WmA0qYEfjWsAoyJFSw2zinhn2wM""","20","UCBR8-60-B28hp2BmDPdntcQ","Gaming","true"
"youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/EapFaGYG7K0StIXVf8aba249tdM""","21","UCBR8-60-B28hp2BmDPdntcQ","Videoblogging","false"
"youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/xId8RX7vRN8rqkbYZbNIytUQDRo""","22","UCBR8-60-B28hp2BmDPdntcQ","People & Blogs","true"
